Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
rnr,,Ribonuclease R,753,753,1,983,5773,,,,1448,2441,2438
mutL,,DNA mismatch repair protein MutL,753,753,1,983,5761,,,,464,1847,1840
fadH,,"2,4-dienoyl-CoA reductase",753,753,1,983,4457,,,,923,2018,2016
ebgA,,Evolved beta-galactosidase subunit alpha,753,753,1,983,4462,,,,1064,3092,3087
ugpB,,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,753,753,1,983,32102,,,,767,1316,1315
ugpA,,sn-glycerol-3-phosphate transport system permease protein UgpA,753,753,1,983,32101,,,,326,887,886
fabB,,3-oxoacyl-[acyl-carrier-protein] synthase 1,753,753,1,983,19494,,,,809,1220,1218
mnmC,,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,753,753,1,983,19492,,,,899,2006,2003
chaC,,Glutathione-specific gamma-glutamylcyclotransferase,753,753,1,983,25851,,,,314,716,714
tilS,,tRNA(Ile)-lysidine synthase,753,753,1,983,12428,,,,227,1298,1294
dcuR,,Transcriptional regulatory protein DcuR,753,753,1,983,3141,,,,509,719,718
cutC_1,,Copper homeostasis protein CutC,753,753,1,983,9268,,,,665,746,745
uvrY,,Response regulator UvrY,753,753,1,983,9564,,,,482,680,655
thiM,,Hydroxyethylthiazole kinase,753,753,1,983,16746,,,,788,788,788
msrB,,Peptide methionine sulfoxide reductase MsrB,753,753,1,983,26818,,,,293,458,412
group_12370,,hypothetical protein,753,753,1,983,16511,,,,110,110,110
yajL,,Protein/nucleic acid deglycase 3,753,753,1,983,20669,,,,407,590,589
group_12408,,hypothetical protein,753,753,1,983,5253,,,,482,617,616
qseB,,Transcriptional regulatory protein QseB,753,753,1,983,4565,,,,263,659,658
gpr,,L-glyceraldehyde 3-phosphate reductase,753,753,1,983,4588,,,,392,1040,1038
rsd,,Regulator of sigma D,753,753,1,983,25902,,,,470,476,475
thiH,,2-iminoacetate synthase,753,753,1,983,25896,,,,1061,1133,1132
outO,,hypothetical protein,753,753,1,984,5,,,,287,497,466
pdhR_1,,Pyruvate dehydrogenase complex repressor,753,753,1,983,6612,,,,725,773,727
priA,,Primosomal protein N',753,753,1,983,16559,,,,419,2198,2192
group_12481,,hypothetical protein,753,753,1,983,4358,,,,614,1040,1039
rdgB,,dITP/XTP pyrophosphatase,753,753,1,983,3801,,,,416,593,592
group_12510,,hypothetical protein,753,753,1,983,5555,,,,521,707,706
yhiM,,Inner membrane protein YhiM,753,753,1,983,32148,,,,929,1157,1051
gshB,,Glutathione synthetase,753,753,1,983,3791,,,,275,950,949
group_12892,,hypothetical protein,753,753,1,983,3550,,,,374,911,904
nlpD_2,,Murein hydrolase activator NlpD,753,753,1,983,3512,,,,713,1148,1138
mutS,,DNA mismatch repair protein MutS,753,753,1,983,3494,,,,125,2567,2557
wrbA,,NAD(P)H dehydrogenase (quinone),753,753,1,983,28522,,,,470,605,595
fdhD,,Sulfur carrier protein FdhD,753,753,1,983,16521,,,,800,875,833
xylR,,Xylose operon regulatory protein,753,753,1,983,30565,,,,581,1178,1174
group_13583,,hypothetical protein,753,753,1,983,23954,,,,248,374,361
scpB,,Methylmalonyl-CoA decarboxylase,753,753,1,983,3757,,,,158,785,783
hyfA_4,,Hydrogenase-4 component A,753,753,1,983,3718,,,,269,506,487
group_13620,,hypothetical protein,753,753,1,983,3605,,,,146,164,146
group_13654,,putative transporter,753,753,1,983,3385,,,,1079,1184,1183
alaE,,L-alanine exporter AlaE,753,753,1,983,3375,,,,233,449,448
ydiK,,Putative transport protein YdiK,753,753,1,983,26937,,,,461,1112,1110
aaeA_1,,p-hydroxybenzoic acid efflux pump subunit AaeA,753,753,1,983,26987,,,,467,857,778
tqsA,,AI-2 transport protein TqsA,753,753,1,983,27043,,,,875,1034,1033
group_13676,,hypothetical protein,753,753,1,983,27054,,,,821,848,821
rspR,,HTH-type transcriptional repressor RspR,753,753,1,983,23198,,,,656,686,685
chbA_2,,"PTS system N,N'-diacetylchitobiose-specific EIIA component",753,753,1,983,23182,,,,215,311,309
cysM,,Cysteine synthase B,753,753,1,983,19344,,,,680,911,910
cysW,,Sulfate transport system permease protein CysW,753,753,1,983,19342,,,,566,875,874
group_13700,,hypothetical protein,753,753,1,983,19323,,,,974,1052,1051
eutK,,Ethanolamine utilization protein EutK,753,753,1,983,19322,,,,308,500,499
eutM,,Ethanolamine utilization protein EutM,753,753,1,983,19114,,,,293,359,325
hyfC,,Hydrogenase-4 component C,753,753,1,983,19080,,,,635,947,946
nuoL_2,,NADH-quinone oxidoreductase subunit L,753,753,1,983,19079,,,,449,830,829
hyfG,,Hydrogenase-4 component G,753,753,1,983,19074,,,,1370,1667,1666
hda,,DnaA regulatory inactivator Hda,753,753,1,983,19063,,,,482,746,744
bamB,,Outer membrane protein assembly factor BamB,753,753,1,983,18930,,,,659,1178,1177
tdh_1,,L-threonine 3-dehydrogenase,753,753,1,983,18889,,,,953,1061,1060
mltF,,Membrane-bound lytic murein transglycosylase F,753,753,1,983,18871,,,,1418,1625,1556
yofA,,HTH-type transcriptional regulator YofA,753,753,1,983,18834,,,,788,881,880
yfiF,,putative tRNA/rRNA methyltransferase YfiF,753,753,1,983,18830,,,,314,1037,1035
group_13748,,hypothetical protein,753,753,1,983,18828,,,,419,698,697
pflD,,Trans-4-hydroxy-L-proline dehydratase,753,753,1,983,29386,,,,1826,2432,2431
gstB_1,,Glutathione S-transferase GstB,753,753,1,983,29363,,,,332,626,625
ltaE,,Low specificity L-threonine aldolase,753,753,1,983,29223,,,,263,1001,999
azoR_2,,FMN-dependent NADH-azoreductase,753,753,1,983,29085,,,,434,590,588
group_13765,,hypothetical protein,753,753,1,983,28647,,,,2195,2264,2263
ssuB,,Aliphatic sulfonates import ATP-binding protein SsuB,753,753,1,983,28620,,,,347,791,766
ycbF,,putative fimbrial chaperone YcbF,753,753,1,983,28608,,,,485,689,686
pspE,,Thiosulfate sulfurtransferase PspE,753,753,1,983,26299,,,,257,314,313
rimL,,Ribosomal-protein-serine acetyltransferase,753,753,1,983,26460,,,,332,560,535
tig,,Trigger factor,753,753,1,983,20685,,,,905,1298,1297
acrR_1,,HTH-type transcriptional regulator AcrR,753,753,1,983,20719,,,,548,686,646
ybaN,,Inner membrane protein YbaN,753,753,1,983,20723,,,,335,377,376
ybaQ,,putative HTH-type transcriptional regulator YbaQ,753,753,1,983,20742,,,,245,395,394
purK,,N5-carboxyaminoimidazole ribonucleotide synthase,753,753,1,983,30792,,,,851,1067,1066
uhpC,,Membrane sensor protein UhpC,753,753,1,983,4873,,,,761,1319,1317
group_13829,,hypothetical protein,753,753,1,983,4827,,,,152,398,397
dnaA,,Chromosomal replication initiator protein DnaA,753,753,1,983,4823,,,,173,1403,1400
rihC,,Non-specific ribonucleoside hydrolase RihC,753,753,1,983,14566,,,,914,914,914
dapB,,4-hydroxy-tetrahydrodipicolinate reductase,753,753,1,983,14567,,,,638,821,820
carB,,Carbamoyl-phosphate synthase large chain,753,753,1,983,14570,,,,284,3221,3217
caiD,,Carnitinyl-CoA dehydratase,753,753,1,983,14574,,,,581,785,783
ygcS,,Inner membrane metabolite transport protein YgcS,753,753,1,983,14689,,,,1304,1358,1331
djlA,,Co-chaperone protein DjlA,753,753,1,983,14676,,,,815,881,815
guaC,,GMP reductase,753,753,1,983,14626,,,,254,1043,1038
acnB,,Aconitate hydratase B,753,753,1,983,14608,,,,1415,2597,2595
yrbL,,putative protein YrbL,753,753,1,983,4299,,,,494,674,631
zapE,,Cell division protein ZapE,753,753,1,983,4275,,,,950,1127,1118
group_13868,,hypothetical protein,753,753,1,983,16875,,,,227,227,227
ccmC,,Heme exporter protein C,753,753,1,983,19654,,,,482,761,737
rhmA,,2-keto-3-deoxy-L-rhamnonate aldolase,753,753,1,983,19590,,,,389,803,390
ais,,Lipopolysaccharide core heptose(II)-phosphate phosphatase,753,753,1,983,19583,,,,491,602,601
menE,,2-succinylbenzoate--CoA ligase,753,753,1,983,19574,,,,941,1355,1353
nuoL_1,,NADH-quinone oxidoreductase subunit L,753,753,1,983,19555,,,,611,1841,1839
nuoC,,NADH-quinone oxidoreductase subunit C/D,753,753,1,983,19545,,,,233,1802,1798
group_13884,,hypothetical protein,753,753,1,983,29439,,,,620,713,712
moaC,,Cyclic pyranopterin monophosphate synthase,753,753,1,983,29446,,,,359,485,484
yjfF,,Inner membrane ABC transporter permease protein YjfF,753,753,1,983,5866,,,,392,995,993
nrdG,,Anaerobic ribonucleoside-triphosphate reductase-activating protein,753,753,1,983,5874,,,,464,464,464
lptG_1,,Lipopolysaccharide export system permease protein LptG,753,753,1,983,5970,,,,170,1082,1080
yjjG,,Pyrimidine 5'-nucleotidase YjjG,753,753,1,983,6476,,,,677,701,677
group_13943,,hypothetical protein,753,753,1,983,32023,,,,365,440,439
group_13948,,ISNCY family transposase ISVsa17,753,753,1,983,32048,,,,755,878,876
group_13956,,hypothetical protein,753,753,1,983,28551,,,,365,857,855
group_13978,,hypothetical protein,753,753,1,983,20573,,,,770,947,933
hemB,,Delta-aminolevulinic acid dehydratase,753,753,1,983,20602,,,,209,974,972
thiK,,Thiamine kinase,753,753,1,983,25673,,,,713,824,823
dinI,,DNA damage-inducible protein I,753,753,1,983,25620,,,,164,245,244
mdoH,,Glucans biosynthesis glucosyltransferase H,753,753,1,983,25608,,,,959,2513,2509
hemY,,Protein HemY,753,753,1,983,7447,,,,560,1196,1195
hemC,,Porphobilinogen deaminase,753,753,1,983,7450,,,,608,962,961
group_14003,,hypothetical protein,753,753,1,983,7458,,,,191,707,705
recQ,,ATP-dependent DNA helicase RecQ,753,753,1,983,7472,,,,1253,1835,1832
metE,,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,753,753,1,983,7500,,,,251,2261,2251
group_14017,,hypothetical protein,753,753,1,983,5802,,,,275,275,275
bsmA,,Lipoprotein BsmA,753,753,1,983,5790,,,,329,329,329
group_14023,,hypothetical protein,753,753,1,983,5767,,,,110,197,196
blc,,Outer membrane lipoprotein Blc,753,753,1,983,5742,,,,281,533,532
dusA,,tRNA-dihydrouridine(20/20a) synthase,753,753,1,983,3026,,,,941,1037,1036
acs_2,,Acetyl-coenzyme A synthetase,753,753,1,983,3070,,,,212,1958,1955
nrfB,,Cytochrome c-type protein NrfB,753,753,1,983,3072,,,,398,566,565
ydhX_2,,putative ferredoxin-like protein YdhX,753,753,1,983,3073,,,,554,671,670
citG,,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,753,753,1,983,30701,,,,854,938,878
group_14062,,hypothetical protein,753,753,1,983,30667,,,,341,482,481
nagD,,Ribonucleotide monophosphatase NagD,753,753,1,983,30639,,,,692,752,751
cysL,,HTH-type transcriptional regulator CysL,753,753,1,983,16836,,,,365,881,864
yehW,,Glycine betaine uptake system permease protein YehW,753,753,1,983,16796,,,,356,731,730
group_14078,,hypothetical protein,753,753,1,983,16795,,,,107,107,107
yqjF,,Inner membrane protein YqjF,753,753,1,983,4428,,,,290,491,481
group_14082,,hypothetical protein,753,753,1,983,4451,,,,575,683,682
patA,,Putrescine aminotransferase,753,753,1,983,4467,,,,428,1490,1488
yhhS,,putative MFS-type transporter YhhS,753,753,1,983,32125,,,,365,1259,1257
glgA,,Glycogen synthase,753,753,1,983,32073,,,,344,1433,1428
glyS,,Glycine--tRNA ligase beta subunit,753,753,1,983,30552,,,,698,2069,2066
yciO,,putative protein YciO,753,753,1,983,25971,,,,227,620,619
gluQ,,Glutamyl-Q tRNA(Asp) synthetase,753,753,1,983,12479,,,,896,926,925
dgt,,Deoxyguanosinetriphosphate triphosphohydrolase,753,753,1,983,12457,,,,971,1517,1516
dnaE,,DNA polymerase III subunit alpha,753,753,1,983,12432,,,,1064,3482,3478
pliG,,Inhibitor of g-type lysozyme,753,753,1,983,25766,,,,170,416,400
lamB,,Maltoporin,753,753,1,983,3009,,,,551,1340,1338
xylE,,D-xylose-proton symporter,753,753,1,983,3002,,,,434,1475,1472
fetB,,putative iron export permease protein FetB,753,753,1,983,20751,,,,779,830,779
group_14173,,hypothetical protein,753,753,1,983,3120,,,,446,905,878
group_14174,,hypothetical protein,753,753,1,983,3118,,,,335,407,335
ypdA,,Sensor histidine kinase YpdA,753,753,1,983,19385,,,,1646,1706,1696
nupC,,Nucleoside permease NupC,753,753,1,983,19369,,,,308,1202,1200
entF,,Enterobactin synthase component F,753,753,1,983,30734,,,,566,3881,3873
yafP,,putative N-acetyltransferase YafP,753,753,1,983,20139,,,,233,452,431
hdeB,,Acid stress chaperone HdeB,753,753,1,983,31880,,,,293,338,337
topB,,DNA topoisomerase 3,753,753,1,983,26831,,,,1436,1961,1960
group_14271,,hypothetical protein,753,753,1,983,26848,,,,668,695,677
astB,,N-succinylarginine dihydrolase,753,753,1,983,26854,,,,773,1343,1342
yabJ,,2-iminobutanoate/2-iminopropanoate deaminase,753,753,1,983,9114,,,,290,359,346
slp_2,,Outer membrane protein Slp,753,753,1,983,9111,,,,527,608,580
ppc,,Phosphoenolpyruvate carboxylase,753,753,1,983,27364,,,,395,2651,2645
manP_3,,PTS system mannose-specific EIIBCA component,753,753,1,983,27372,,,,416,1079,1077
group_14290,,hypothetical protein,753,753,1,983,27389,,,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,386,608,607
yihV,,Sulfofructose kinase,753,753,1,983,16494,,,,605,896,893
nlhH,,Carboxylesterase NlhH,753,753,1,983,16500,,,,737,908,907
sodA,,Superoxide dismutase [Mn],753,753,1,983,16543,,,,167,620,609
group_14345,,hypothetical protein,753,753,1,983,30277,,,,584,779,778
lldR_1,,Putative L-lactate dehydrogenase operon regulatory protein,753,753,1,983,5166,,,,776,776,776
ydcO,,Inner membrane protein YdcO,753,753,1,983,27145,,,,863,1175,1172
sutR,,HTH-type transcriptional regulator SutR,753,753,1,983,27146,,,,431,536,535
hicB,,Antitoxin HicB,753,753,1,983,27150,,,,350,437,436
group_14374,,hypothetical protein,753,753,1,983,16576,,,,287,440,439
prlF,,Antitoxin PrlF,753,753,1,983,4391,,,,317,356,334
group_14404,,hypothetical protein,753,753,1,983,4532,,,,143,671,670
yadG,,putative ABC transporter ATP-binding protein YadG,753,753,1,983,12374,,,,758,926,925
hemW,,Heme chaperone HemW,753,753,1,983,3804,,,,908,1136,1135
group_14431,,putative protein,753,753,1,983,3808,,,,317,359,326
group_14439,,hypothetical protein,753,753,1,983,14541,,,,248,404,403
group_14440,,hypothetical protein,753,753,1,983,5210,,,,794,863,862
group_14443,,hypothetical protein,753,753,1,983,5203,,,,434,668,667
yjjX,,Inosine/xanthosine triphosphatase,753,753,1,983,6417,,,,512,521,512
deaD,,ATP-dependent RNA helicase DeaD,753,753,1,983,4345,,,,227,1913,1886
ulaA,,Ascorbate-specific PTS system EIIC component,753,753,1,983,5796,,,,1352,1424,1396
efeB,,Deferrochelatase/peroxidase EfeB,753,753,1,983,28505,,,,1058,1277,1270
hyfB,,Hydrogenase-4 component B,753,753,1,983,19082,,,,1148,2051,2013
bioA,,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,753,753,1,983,29457,,,,227,1400,1287
yggF,,"Fructose-1,6-bisphosphatase 2 class 2",753,753,1,983,3775,,,,695,965,964
group_15976,,hypothetical protein,753,753,1,983,3745,,,,539,578,577
ubiI,,2-octaprenylphenol hydroxylase,753,753,1,983,3742,,,,344,1202,1199
gcvT,,Aminomethyltransferase,753,753,1,983,3741,,,,1094,1163,1094
gcvP,,Glycine dehydrogenase (decarboxylating),753,753,1,983,3739,,,,2282,2873,2872
ygfX,,Inner membrane protein YgfX,753,753,1,983,3731,,,,197,407,405
ygfK,,Putative oxidoreductase YgfK,753,753,1,983,3710,,,,3029,3098,3097
ndhS,,Nicotinate dehydrogenase small FeS subunit,753,753,1,983,3699,,,,371,479,478
araE,,Arabinose-proton symporter,753,753,1,983,3617,,,,1358,1418,1417
ygeA,,L-aspartate/glutamate-specific racemase,753,753,1,983,3616,,,,665,692,691
lysA,,Diaminopimelate decarboxylase,753,753,1,983,3614,,,,1049,1262,1261
aas,,Bifunctional protein Aas,753,753,1,983,3612,,,,2159,2306,2159
lplT,,Lysophospholipid transporter LplT,753,753,1,983,3611,,,,593,1193,1192
recB,,RecBCD enzyme subunit RecB,753,753,1,983,3594,,,,1844,3542,3532
csdE,,Sulfur acceptor protein CsdE,753,753,1,983,3586,,,,197,443,442
fucK,,L-fuculokinase,753,753,1,983,3578,,,,1298,1418,1417
sdaC,,Serine transporter,753,753,1,983,3569,,,,1220,1289,1288
truC,,tRNA pseudouridine synthase C,753,753,1,983,3564,,,,680,782,781
queE,,7-carboxy-7-deazaguanine synthase,753,753,1,983,3548,,,,449,671,670
hosA,,Transcriptional regulator HosA,753,753,1,983,3508,,,,299,407,406
ygbN,,Inner membrane permease YgbN,753,753,1,983,3502,,,,1319,1364,1363
otnI,,2-oxo-tetronate isomerase,753,753,1,983,3501,,,,464,776,775
otnC,,3-oxo-tetronate 4-phosphate decarboxylase,753,753,1,983,3500,,,,401,638,637
hycD,,Formate hydrogenlyase subunit 4,753,753,1,983,3439,,,,356,923,922
bglH_1,,Aryl-phospho-beta-D-glucosidase BglH,753,753,1,983,3432,,,,218,1424,1422
norW,,Nitric oxide reductase FlRd-NAD(+) reductase,753,753,1,983,3415,,,,257,1133,1131
srlB,,PTS system glucitol/sorbitol-specific EIIA component,753,753,1,983,3406,,,,302,371,370
srlE,,PTS system glucitol/sorbitol-specific EIIB component,753,753,1,983,3405,,,,233,959,957
yqaA,,Inner membrane protein YqaA,753,753,1,983,3395,,,,413,428,427
mprA,,Transcriptional repressor MprA,753,753,1,983,3388,,,,524,530,529
ygaZ,,Inner membrane protein YgaZ,753,753,1,983,3386,,,,692,737,736
proV,,Glycine betaine/proline betaine transport system ATP-binding protein ProV,753,753,1,983,3382,,,,1025,1202,1201
nrdE,,Ribonucleoside-diphosphate reductase 2 subunit alpha,753,753,1,983,3380,,,,2093,2144,2141
nrdI,,Protein NrdI,753,753,1,983,3379,,,,335,410,409
nrdH,,Glutaredoxin-like protein NrdH,753,753,1,983,3378,,,,185,245,244
group_16019,,hypothetical protein,753,753,1,983,3376,,,,221,344,343
ygaV,,putative HTH-type transcriptional regulator YgaV,753,753,1,983,3372,,,,239,299,298
kbp,,Potassium binding protein Kbp,753,753,1,983,3370,,,,359,449,448
group_16022,,hypothetical protein,753,753,1,983,26880,,,,710,758,757
fixA_1,,Protein FixA,753,753,1,983,26924,,,,764,785,764
ydiN,,Inner membrane transport protein YdiN,753,753,1,983,26934,,,,962,1265,1264
group_16025,,hypothetical protein,753,753,1,983,26940,,,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,188,323,188
sufE,,Cysteine desulfuration protein SufE,753,753,1,983,26948,,,,242,416,415
pykF,,Pyruvate kinase I,753,753,1,983,26951,,,,1190,1412,1411
ydhT,,putative protein YdhT,753,753,1,983,26959,,,,599,764,763
cfa,,Cyclopropane-fatty-acyl-phospholipid synthase,753,753,1,983,26966,,,,1028,1148,1147
yahB_1,,putative HTH-type transcriptional regulator YahB,753,753,1,983,26968,,,,440,932,931
ynhF,,putative protein YnhF,753,753,1,983,26970,,,,89,89,89
nemR,,HTH-type transcriptional repressor NemR,753,753,1,983,26981,,,,599,635,599
sodC,,Superoxide dismutase [Cu-Zn],753,753,1,983,26985,,,,326,521,519
mliC,,Membrane-bound lysozyme inhibitor of C-type lysozyme,753,753,1,983,26992,,,,98,323,322
ydgK,,Inner membrane protein YdgK,753,753,1,983,27009,,,,278,440,439
bioD1_1,,ATP-dependent dethiobiotin synthetase BioD 1,753,753,1,983,27060,,,,446,695,694
clcB,,Voltage-gated ClC-type chloride channel ClcB,753,753,1,983,27061,,,,182,1256,1254
pncC_3,,Nicotinamide-nucleotide amidohydrolase PncC,753,753,1,983,23194,,,,368,518,516
cynR_1,,HTH-type transcriptional regulator CynR,753,753,1,983,19357,,,,875,926,925
group_16052,,hypothetical protein,753,753,1,983,19355,,,,470,998,997
group_16053,,hypothetical protein,753,753,1,983,19354,,,,164,218,217
group_16054,,hypothetical protein,753,753,1,983,19345,,,,332,368,367
eutQ,,Ethanolamine utilization protein EutQ,753,753,1,983,19111,,,,677,701,700
pduV,,Propanediol utilization protein PduV,753,753,1,983,19108,,,,281,479,478
group_16057,,hypothetical protein,753,753,1,983,19102,,,,413,1043,1042
gltD_1,,Ferredoxin--NADP reductase,753,753,1,983,19100,,,,443,1979,1976
yffB,,Protein YffB,753,753,1,983,19097,,,,356,356,356
vapB,,Antitoxin VapB,753,753,1,983,19090,,,,227,227,227
hyfE,,Hydrogenase-4 component E,753,753,1,983,19077,,,,650,668,650
bepA,,Beta-barrel assembly-enhancing protease,753,753,1,983,19065,,,,929,1463,1462
xseA,,Exodeoxyribonuclease 7 large subunit,753,753,1,983,18933,,,,581,1370,1368
rodZ,,Cytoskeleton protein RodZ,753,753,1,983,18925,,,,281,1013,1012
hscA,,Chaperone protein HscA,753,753,1,983,18913,,,,395,1850,1848
trmJ,,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ,753,753,1,983,18907,,,,470,737,735
hcaR_2,,Hca operon transcriptional activator HcaR,753,753,1,983,18901,,,,731,890,889
yphA,,Inner membrane protein YphA,753,753,1,983,18891,,,,317,422,421
rbsC_1,,Ribose import permease protein RbsC,753,753,1,983,18888,,,,206,998,996
pgpC,,Phosphatidylglycerophosphatase C,753,753,1,983,18867,,,,449,635,634
lepA,,Elongation factor 4,753,753,1,983,18842,,,,1271,1799,1797
srmB_2,,ATP-dependent RNA helicase SrmB,753,753,1,983,18835,,,,1067,1334,1333
trxC,,Thioredoxin 2,753,753,1,983,18829,,,,368,419,418
cutD,,Choline trimethylamine-lyase activating enzyme,753,753,1,983,29385,,,,899,926,899
moeB,,Molybdopterin-synthase adenylyltransferase,753,753,1,983,29383,,,,491,749,748
rcdA,,HTH-type transcriptional regulator RcdA,753,753,1,983,29355,,,,488,536,535
macA,,Macrolide export protein MacA,753,753,1,983,29214,,,,653,1115,1109
macB,,Macrolide export ATP-binding/permease protein MacB,753,753,1,983,29213,,,,1310,1946,1945
lrp,,Leucine-responsive regulatory protein,753,753,1,983,29128,,,,449,494,493
dmsC_2,,Anaerobic dimethyl sulfoxide reductase chain C,753,753,1,983,29113,,,,839,863,862
pgrR_2,,HTH-type transcriptional regulator PgrR,753,753,1,983,29086,,,,215,908,907
pflA,,Pyruvate formate-lyase 1-activating enzyme,753,753,1,983,29084,,,,740,797,744
group_16097,,hypothetical protein,753,753,1,983,28640,,,,737,893,892
aspC,,Aspartate aminotransferase,753,753,1,983,28628,,,,1046,1190,1189
